name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Collectif Camden Market,"36, Camden's Stables Market, Chalk Farm Rd, London",51.54222439999999,-0.1469208,4.7,Camden,504,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Vintage Clothing,"53 Chalk Farm Rd, London",51.5430371,-0.1501184,0.0,Camden,505,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Hartex,"Unit 9, Gabriels Wharf, 56 Upper Ground, London",51.5079685,-0.1103793,4.7,Lambeth,506,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
Vivien of Holloway,"294 Holloway Rd, London",51.55451430000001,-0.1142869,4.4,Islington,507,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Camden Retro Signs,"8A, The Stables Market, PADDOCK LANE, Chalk Farm Rd, London",51.5420455,-0.1469688,5.0,Camden,508,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
ANTIQUES,London,51.5122569,-0.1546661,4.8,Westminster,509,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Seconda Mano - Clothing Agency,"114 Upper St, London",51.5381916,-0.1026253,4.0,Islington,510,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Leos boutique uk clothing popup stall,"Pierrepoint Arcade, Camden Psge, London",51.5355171,-0.1032303,5.0,Islington,511,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Camden Thrift Store,"51 Chalk Farm Rd, London",51.543116,-0.1494112,4.5,Camden,512,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
The Vintage House,"42 Old Compton St, London",51.5131282,-0.1316389,4.1,Westminster,513,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,Islington,514,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
The Vintage Collection,"Arch 59, Camden Stables Market, London",51.5420455,-0.1469688,5.0,Camden,515,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,Camden,516,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Rokit Camden,"225 Camden High St, London",51.5398923,-0.143589,4.1,Camden,517,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
St Cyr Vintage,"56 Saddle Row Camden Market, London",51.5421391,-0.1483749,4.3,Camden,518,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Berty and Gerty Vintage,"53 Camden Lock Pl, London",51.5413907,-0.1465884,0.0,Camden,519,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
What Goes Around Comes Around,"Unit 32, The Stables Market Chalk, Farm Road, London",51.5420969,-0.1466583,3.9,Camden,520,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
