,Shop_Name,Address,Latitude,Longitude,Rating,Reviews_Count,Place_ID,Price_Level,types,Borough,Property_Value_2017,Earnings_2021,IMD_Rank,Income_Rank,composite_score,Rating_normalized,Property_Value_2017_normalized,Earnings_2021_normalized,Reviews_Count_normalized,Price_Level_normalized,Rank
10,Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,10,ChIJMZuZSZ8PdkgRi6DwkK7Q-vQ,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7973132920818511,0.9800000000000001,1.0,0.9799126637554584,0.01984126984126984,0.03378378378378377,11.0
11,Oxfam,"145 Earls Ct Rd, London",51.4932217,-0.1942135,4.7,36,ChIJ9w1_r4wPdkgRaxJ0tBlX0SY,1.0,"book_store, clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7934111041796632,0.9400000000000001,1.0,0.9799126637554584,0.07142857142857142,0.0,12.0
12,Loop Generation Consignment Store in London's Chelsea,"295-297 Brompton Rd, London",51.49415639999999,-0.1685987,4.8,11,ChIJ894MZ10FdkgR5DPq-qL7TwI,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7899085301770892,0.96,1.0,0.9799126637554584,0.021825396825396824,0.03378378378378377,13.0
13,Cancer Research UK,"183 Portobello Rd, London",51.51530630000001,-0.2047575,4.8,6,ChIJdwj-8B0QdkgRAtK5yVNxh8k,1.0675675675675675,"home_goods_store, clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7869323397008987,0.96,1.0,0.9799126637554584,0.011904761904761904,0.03378378378378377,14.0
14,Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,12,ChIJ_X4KxB4QdkgRvjr44JpY2U4,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7825037682723273,0.9400000000000001,1.0,0.9799126637554584,0.023809523809523808,0.03378378378378377,15.0
15,Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,9,ChIJlVa_4xgQdkgRkgNNlNNdfvs,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.780718053986613,0.9400000000000001,1.0,0.9799126637554584,0.017857142857142856,0.03378378378378377,16.0
16,All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,6,ChIJQ0WhI0EFdkgRUsFp8mc6Uz0,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7765404502246608,1.0,0.847953216374269,1.0,0.011904761904761904,0.03378378378378377,17.0
17,Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,5,ChIJTzuCQKIFdkgRcxPzeD_9slc,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7759452121294227,1.0,0.847953216374269,1.0,0.00992063492063492,0.03378378378378377,18.0
18,Octavia Foundation,"211 Brompton Rd, London",51.4973998,-0.1674381,4.5,27,ChIJOxO2HEEFdkgRiMN7pujgMB0,1.0675675675675675,"book_store, home_goods_store, clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7754323397008988,0.9,1.0,0.9799126637554584,0.05357142857142857,0.03378378378378377,19.0
19,Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,2,ChIJk5B9ZcAPdkgRm356VB8G3JA,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7741594978437084,1.0,0.847953216374269,1.0,0.003968253968253968,0.03378378378378377,20.0
20,Vintage Clothing,"42 Shelton St, London",51.5140221,-0.1245663,5.0,1,ChIJmWsjucwEdkgRMgocAFEZHWo,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7735642597484703,1.0,0.847953216374269,1.0,0.001984126984126984,0.03378378378378377,21.0
21,De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,1,ChIJE21HS5wFdkgRzw8pNbh3GXY,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7735642597484703,1.0,0.847953216374269,1.0,0.001984126984126984,0.03378378378378377,21.0
22,Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,49,ChIJdcMjiDN5dkgROqbs4NTxXRs,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7725275777961368,0.86,1.0,0.9799126637554584,0.09722222222222222,0.03378378378378377,23.0
23,Mary's Living & Giving Shop for Save the Children - Little Venice,"11 Clifton Rd, London",51.5256573,-0.1789834,4.9,8,ChIJ40ATfKUadkgRrUbavFeeClk,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.769730926415137,0.9800000000000001,0.847953216374269,1.0,0.015873015873015872,0.03378378378378377,24.0
24,Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,44,ChIJO0h_8BkQdkgRzieFcu8ddJ0,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7695513873199463,0.86,1.0,0.9799126637554584,0.0873015873015873,0.03378378378378377,25.0
25,Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,11,ChIJv1a_4xgQdkgR5ZbM4Ktx-N8,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7659085301770892,0.9,1.0,0.9799126637554584,0.021825396825396824,0.03378378378378377,26.0
26,Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,27,ChIJS6Nmgm8FdkgRGkDBw4Zq1eA,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7650404502246607,0.9400000000000001,0.847953216374269,1.0,0.05357142857142857,0.03378378378378377,27.0
27,Fara Charity Shop - Kensington,"26 Gloucester Rd, London",51.4989357,-0.1838286,4.3,36,ChIJf8PKzF4FdkgRu7WRl0HKtw4,1.0675675675675675,"store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7647894825580416,0.86,1.0,0.9799126637554584,0.07142857142857142,0.03378378378378377,28.0
28,Oxfam Boutique - Westbourne Grove,"245 Westbourne Grove, London",51.51398340000001,-0.2011268,4.5,13,ChIJhTERruIPdkgRLq2YMjwlp-s,1.0,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7637206279891869,0.9,1.0,0.9799126637554584,0.025793650793650792,0.0,29.0
29,Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,76,ChIJTzZgDuAEdkgR7NUgOuToH4k,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7622071168913274,0.86,0.847953216374269,1.0,0.15079365079365079,0.03378378378378377,30.0
30,Fara Charity Shop - Notting Hill,"10 Elgin Cres, London",51.5150959,-0.205102,4.3,21,ChIJ6493-R0QdkgRVYSRARe5FQo,1.0675675675675675,"store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7558609111294701,0.86,1.0,0.9799126637554584,0.041666666666666664,0.03378378378378377,31.0
31,Reign Vintage,"12 Berwick St, London",51.51340130000001,-0.1345882,4.3,64,ChIJP8_qoNQEdkgRDhsWpHPPXxw,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7550642597484702,0.86,0.847953216374269,1.0,0.12698412698412698,0.03378378378378377,32.0
32,282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,19,ChIJi9_wxh4QdkgRgLFdnOHIDyM,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7546704349389939,0.86,1.0,0.9799126637554584,0.037698412698412696,0.03378378378378377,33.0
33,Goldsmith Vintage,"121, 123 Charing Cross Rd, London",51.5149524,-0.1301147,4.2,75,ChIJ7fvSTC0bdkgRExTPDHDDCDo,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7536118787960895,0.8400000000000001,0.847953216374269,1.0,0.1488095238095238,0.03378378378378377,34.0
34,National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,386,ChIJZ2m4bc0DdkgReI2k-XWxgqs,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Southwark,520000.0,631.9,11546.481927710844,11492.855421686749,0.7520672220304488,1.0,0.2046783625730994,0.38995633187772905,0.7658730158730159,0.03378378378378377,35.0
35,Sue Ryder,"37 Warwick Way, London",51.4921984,-0.1403124,4.7,7,ChIJVX7HJuAEdkgRDcEcSXwPeKE,1.0,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7497573099415205,0.9400000000000001,0.847953216374269,1.0,0.013888888888888888,0.0,36.0
36,The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,24,ChIJO4h3KvsRdkgRePoCG0BR20I,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7496466254151843,0.8400000000000001,1.0,0.9799126637554584,0.047619047619047616,0.03378378378378377,37.0
37,Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,8,ChIJyaPlFBARdkgR8fPvY6-3MUM,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7481228158913749,0.86,1.0,0.9799126637554584,0.015873015873015872,0.03378378378378377,38.0
38,Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,7,ChIJwUUENVQPdkgRoacWwo1nBEI,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7475275777961368,0.86,1.0,0.9799126637554584,0.013888888888888888,0.03378378378378377,39.0
39,One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,4,ChIJQ4-Q3kEFdkgRP3tWpsbe2R4,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7457418635104225,0.86,1.0,0.9799126637554584,0.007936507936507936,0.03378378378378377,40.0
40,Oxfam Shop - Kensington High Street,"202b Kensington High St, London",51.499707,-0.197388,4.1,36,ChIJqx49nPEPdkgRDpYiOtzOUZM,1.0,"book_store, clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7454111041796632,0.82,1.0,0.9799126637554584,0.07142857142857142,0.0,41.0
41,Fara Charity Shop - Pimlico,"13A Warwick Way, London",51.4925305,-0.139252,4.4,31,ChIJxdvnP-AEdkgRZ_n8rRE6pNs,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7434214026056134,0.8800000000000001,0.847953216374269,1.0,0.061507936507936505,0.03378378378378377,42.0
42,"British Red Cross shop, Portobello Rd","164 Portobello Rd, London",51.51537159999999,-0.2044877,4.2,12,ChIJQaZc8h0QdkgRBZK2VFXLAn8,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7425037682723272,0.8400000000000001,1.0,0.9799126637554584,0.023809523809523808,0.03378378378378377,43.0
43,Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,21,ChIJV6a1ZSwRdkgRYhCRuAEJWEg,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7398609111294701,0.82,1.0,0.9799126637554584,0.041666666666666664,0.03378378378378377,44.0
44,Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,14,ChIJ1cRK55wPdkgRwzwOYlOJb6Q,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7356942444628034,0.82,1.0,0.9799126637554584,0.027777777777777776,0.03378378378378377,45.0
45,Beyond Retro Dalston,"92-100 Stoke Newington Rd, London",51.5533702,-0.0746013,4.5,504,ChIJtRzPk4scdkgRLpwH2LPChQw,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Hackney,530000.0,575.1,7420.611111111111,8051.083333333333,0.7350375116555306,0.9,0.21637426900584794,0.14192139737991266,1.0,0.03378378378378377,46.0
46,Fara Kids Charity Shop - Pimlico,"40 Tachbrook St, London",51.4921587,-0.1388654,4.4,16,ChIJXeI2ROAEdkgRNplh80daPpw,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7344928311770419,0.8800000000000001,0.847953216374269,1.0,0.031746031746031744,0.03378378378378377,47.0
47,Oxfam,"91 Marylebone High St, London",51.5200217,-0.1519255,4.2,47,ChIJPQj-HNIadkgRJCO8ZcuRZ_g,1.0,"book_store, electronics_store, home_goods_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7335668337510445,0.8400000000000001,0.847953216374269,1.0,0.09325396825396826,0.0,48.0
48,Oxfam,"5 Gloucester Rd, London",51.4990739,-0.1835605,4.1,11,ChIJF8-5yl4FdkgRV2yWMBzxQqk,1.0,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7305301517987107,0.82,1.0,0.9799126637554584,0.021825396825396824,0.0,49.0
49,PICKNWEIGHT - VINTAGE KILO STORE,"14-18 Neal St, London",51.5138476,-0.1248029,3.6,112,ChIJvzm727oFdkgRch75deM1hRs,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7276356883198988,0.72,0.847953216374269,1.0,0.2222222222222222,0.03378378378378377,50.0
50,Mary's Living & Giving Shop For Save the Children - Portobello Road,"7 Elgin Cres, London",51.5149657,-0.2048496,4.0,8,ChIJgyS49x0QdkgRD775cOifVgs,1.0675675675675675,"store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7241228158913748,0.8,1.0,0.9799126637554584,0.015873015873015872,0.03378378378378377,51.0
51,Oxfam Boutique,"123A King's Rd, London",51.48828,-0.1660417,4.0,11,ChIJwciwnmwFdkgRwRX5Wscl6Qs,1.0,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7225301517987107,0.8,1.0,0.9799126637554584,0.021825396825396824,0.0,52.0
52,Boutique by Shelter,"31 Clifton Rd, London",51.5252475,-0.1797166,4.3,9,ChIJc9ayf68adkgROcAWUMJM0So,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.722326164510375,0.86,0.847953216374269,1.0,0.017857142857142856,0.03378378378378377,53.0
53,Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,1,ChIJq6rqxB4QdkgRla_C8so-wkc,1.0675675675675675,"point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7199561492247082,0.8,1.0,0.9799126637554584,0.001984126984126984,0.03378378378378377,54.0
54,Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,1,ChIJbwOSTxwQdkgR4EFSAiIfyO4,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7199561492247082,0.8,1.0,0.9799126637554584,0.001984126984126984,0.03378378378378377,54.0
55,Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,116,ChIJLTzCjpUFdkgREt7408Gfd0g,2.0,"home_goods_store, store, point_of_interest, establishment",Wandsworth,640000.0,746.7,18713.156424581004,17922.709497206703,0.7183067421100059,0.8800000000000001,0.34502923976608185,0.8912663755458516,0.23015873015873015,0.5,56.0
56,Octavia Foundation,"58 Wilton Rd, London",51.4933489,-0.1410801,4.1,27,ChIJl3GpjRYFdkgRvKdscOfbqrw,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7170404502246607,0.82,0.847953216374269,1.0,0.05357142857142857,0.03378378378378377,57.0
57,Oxfam,"240 Edgware Rd, London",51.5190524,-0.1684731,4.1,27,ChIJxzoUObQadkgRkNg4w2HD_VI,1.0,"book_store, clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7136620718462823,0.82,0.847953216374269,1.0,0.05357142857142857,0.0,58.0
58,Age UK Westminster,"522 Harrow Rd, London",51.52524769999999,-0.203398,4.1,18,ChIJXTisghAQdkgR67-HdjySreA,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7116833073675178,0.82,0.847953216374269,1.0,0.03571428571428571,0.03378378378378377,59.0
59,Hospices of Hope - Pimlico,"40 Warwick Way, London",51.4919702,-0.1404995,4.1,15,ChIJLQGzJeAEdkgRLJ2ypqyZIew,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7098975930818036,0.82,0.847953216374269,1.0,0.02976190476190476,0.03378378378378377,60.0
60,Charity Shop - Fulham Broadway | Little Lives UK,"433 North End Rd, London",51.4819861,-0.1996177,4.8,127,ChIJk3G98HIPdkgRjKr5VpPb5hk,1.0675675675675675,"point_of_interest, store, establishment",Hammersmith and Fulham,740000.0,714.5,14202.601769911504,13752.9203539823,0.7055022816591422,0.96,0.4619883040935672,0.7506550218340611,0.251984126984127,0.03378378378378377,61.0
61,Cancer Research UK,"53 St John's Wood High St, London",51.5334309,-0.1707745,4.1,7,ChIJP7ua1L0adkgRNOqJYec-zzw,1.0675675675675675,"home_goods_store, clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7051356883198988,0.82,0.847953216374269,1.0,0.013888888888888888,0.03378378378378377,62.0
62,Oxfam,"144 Notting Hill Gate, London",51.5088006,-0.1995225,3.7,21,ChIJww2ETfsPdkgR2fCtcap1uFo,1.0,"book_store, clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.7044825327510916,0.74,1.0,0.9799126637554584,0.041666666666666664,0.0,63.0
63,Barnardo's,"7 George St, London",51.5178363,-0.1521546,3.9,26,ChIJmwmxZNIadkgRGT96bMNmrLs,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.7004452121294228,0.78,0.847953216374269,1.0,0.051587301587301584,0.03378378378378377,64.0
64,Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,48,ChIJXykmgPwPdkgRumgwwviqJ7k,1.0675675675675675,"clothing_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.6999323397008986,0.6799999999999999,1.0,0.9799126637554584,0.09523809523809523,0.03378378378378377,65.0
65,Cancer Research UK,"219 Kensington High St, London",51.499435,-0.1968877,3.6,17,ChIJdYckgvEPdkgRXmdGoQLtTYk,1.0675675675675675,"clothing_store, home_goods_store, point_of_interest, store, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.6974799587485176,0.72,1.0,0.9799126637554584,0.03373015873015873,0.03378378378378377,66.0
66,Mary's Living & Giving Shop,"206 Fulham Rd., London",51.4857866,-0.1814296,3.6,14,ChIJLQD_hmQFdkgRz1CUdyFo0ZA,1.0675675675675675,"store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.6956942444628034,0.72,1.0,0.9799126637554584,0.027777777777777776,0.03378378378378377,67.0
67,All Aboard Shops Ltd,"12 Spring St, London",51.5147142,-0.1758501,3.9,8,ChIJta2KU00FdkgRLVCr9hQTdO0,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.6897309264151371,0.78,0.847953216374269,1.0,0.015873015873015872,0.03378378378378377,68.0
68,Royal Trinity Hospice - Notting Hill,"20 Notting Hill Gate, London",51.50971630000001,-0.1937035,3.5,11,ChIJGW6oq_4PdkgR8aluuoGc7NE,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.6859085301770891,0.7,1.0,0.9799126637554584,0.021825396825396824,0.03378378378378377,69.0
69,Royal Trinity Hospice - Queensway Shop,"158 Queensway, London",51.5150368,-0.1878995,3.7,23,ChIJcTr6p6oadkgRlxI5Shq2-bs,1.0675675675675675,"clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.6826594978437083,0.74,0.847953216374269,1.0,0.04563492063492063,0.03378378378378377,70.0
70,Traid,"61 Westbourne Grove, London",51.5154237,-0.1910018,3.7,17,ChIJKccnIwAQdkgRc0mIC6rg2ZA,1.0675675675675675,"store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.6790880692722797,0.74,0.847953216374269,1.0,0.03373015873015873,0.03378378378378377,71.0
71,Oxfam - St John's Wood,"61 St John's Wood High St, London",51.5335941,-0.170972,3.7,17,ChIJvb8A0r0adkgR_F4TmfsPGYE,1.0,"book_store, clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.6757096908939013,0.74,0.847953216374269,1.0,0.03373015873015873,0.0,72.0
72,Cancer Research UK,"24 Marylebone High St, London",51.5196759,-0.1515771,3.6,22,ChIJZbaCGdIadkgRI15k07R2iFs,1.0675675675675675,"home_goods_store, clothing_store, store, point_of_interest, establishment",Westminster,1070000.0,771.6,16194.96875,16175.703125,0.6740642597484702,0.72,0.847953216374269,1.0,0.04365079365079365,0.03378378378378377,73.0
73,Oxfam,"432 King's Rd, London",51.48319009999999,-0.1775092,3.3,20,ChIJ4wnYSmUFdkgRNtskZ0A7ZQw,1.0,"book_store, clothing_store, store, point_of_interest, establishment",Kensington and Chelsea,1200000.0,767.0,15419.339805825242,18563.563106796115,0.6718872946558535,0.6599999999999999,1.0,0.9799126637554584,0.03968253968253968,0.0,74.0
