name,address,latitude,longitude,rating,borough
Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,London
The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,London
OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,0.0,London
Retro Clothing Exchange,"28 Pembridge Rd, London",51.50983189999999,-0.1971427,2.9,London
Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,London
Eddie Wailes Studio,"13 - 25 Church St, London",51.52421589999999,-0.1688751,0.0,London
Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,London
Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,London
Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,London
Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,London
Nikita Sablier,"79 George St, London",51.5171123,-0.1568565,0.0,London
De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,London
Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,London
One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,0.0,London
Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,London
Retro Woman,"20 Pembridge Rd, London",51.5096466,-0.1971298,2.7,London
American Vintage,"185 Westbourne Grove, London",51.5145847,-0.1981431,3.8,London
Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,London
