name,address,latitude,longitude,rating,borough,borough_from_address,borough_from_lat_lng
Vintage Paradise,"220 Brick Ln, London",51.5245456,-0.0715203,4.3,London,,Tower Hamlets
Vintage Planet,"Unit 5/6, Vintage Planet, Brick Lane Vintage Market B4, 91 Brick Ln, London",51.5212201,-0.0719517,4.3,London,,Tower Hamlets
Pezze,"vinegar yard, St Thomas St, London",51.5026705,-0.0833746,5.0,London,,Southwark
Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,London,,Westminster
Non Stop Vintage,"117c Brick Ln, London",51.5238695,-0.0715777,2.8,London,,Tower Hamlets
Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,London,,Westminster
COW Vintage,"13 Short's Gardens, London",51.5141663,-0.126386,3.7,London,,Camden
House of Vintage,"388 Old St, London",51.5270585,-0.0782834,0.0,London,,Hackney
Love Leather THE VINTAGE MARKET,"85 Brick Ln, London",51.5206389,-0.0719332,4.7,London,,Tower Hamlets
Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,London,,Islington
Thrifted.com @ Brick Lane,"Vintage Market Shoreditch, Unit 30, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
Vintage Clothing,"42 Shelton St, London",51.5140221,-0.1245663,5.0,London,,Westminster
Vintage Velvet Clothing,"85 Brick Ln, London",51.52086689999999,-0.0720324,0.0,London,,Tower Hamlets
London Vintage,"5 Cheshire St, London",51.5235908,-0.0710595,5.0,London,,Tower Hamlets
Cream Vintage London,"158 Brick Ln, London",51.52206469999999,-0.07159839999999999,5.0,London,,Tower Hamlets
Here After,"151 Brick Ln, London",51.5242606,-0.07167200000000001,3.6,London,,Tower Hamlets
Sunday market stock vintage,"106 Sclater St, London",51.5236031,-0.0734318,0.0,London,,Tower Hamlets
Pink Ink,"Vintage market, 85 Brick Ln, London",51.520781,-0.0719501,0.0,London,,Tower Hamlets
Hartex,"Unit 9, Gabriels Wharf, 56 Upper Ground, London",51.5079685,-0.1103793,4.7,London,,Lambeth
Good,"33 Neal St, London",51.5142216,-0.1256036,5.0,London,,Camden
Original Material,"6 Cheshire St, London",51.5234368,-0.0711019,5.0,London,,Tower Hamlets
2o2st News,"72 Berwick St, London",51.5147633,-0.1360655,0.0,London,,Westminster
wornwell vintage clothing,"Oxford St, London",51.5165812,-0.1311655,0.0,London,,Westminster
Future Vintage,"98 Columbia Rd, London",51.528632,-0.0704688,0.0,London,,Tower Hamlets
Serotonin Vintage London,"194 Brick Ln, London",51.5238457,-0.0713949,4.6,London,,Tower Hamlets
Archive Six,"5 Calvert Ave, London",51.5264278,-0.0761304,0.0,London,,Tower Hamlets
Vintage store,"148 Brick Ln, London",51.5213356,-0.0716821,0.0,London,,Tower Hamlets
Clerkenwell Vintage Fashion Fair,"38-51 Bedford Way, London",51.5234685,-0.1273138,0.0,London,,Camden
Vintage Heaven,"82 Columbia Rd, London",51.5284208,-0.07090919999999999,4.5,London,,Tower Hamlets
Dukes Cupboard Limited,"14 Ingestre Pl, London",51.5132008,-0.1357614,4.3,London,,Westminster
livewithfashion,"Alpha House, 100 Borough High St, London",51.5032218,-0.09196889999999999,0.0,London,,Southwark
Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,London,,Westminster
Bread and Butter Collection,"72 Rivington St, London",51.5261211,-0.0792861,5.0,London,,Hackney
British Vintage,"City Rd, London",51.5291548,-0.09518019999999999,0.0,London,,Islington
pillowHeat,"Vans Store, 47 Carnaby St, London",51.5128206,-0.1386783,4.9,London,,Westminster
PICKNWEIGHT - VINTAGE KILO STORE,"14-18 Neal St, London",51.5138476,-0.1248029,3.6,London,,Westminster
Reign Vintage,"12 Berwick St, London",51.51340130000001,-0.1345882,4.3,London,,Westminster
Hunky Dory Vintage,"226 Brick Ln, London",51.52473939999999,-0.0715639,4.5,London,,Tower Hamlets
Beyond Retro Dalston,"92-100 Stoke Newington Rd, London",51.5533702,-0.0746013,4.5,London,,Hackney
Wow Retro London Covent Garden,"179 Drury Ln, London",51.51564699999999,-0.1234713,4.3,London,,Camden
The Brick Lane Vintage Market,"85 Brick Ln, London",51.52079579999999,-0.0720977,4.3,London,,Tower Hamlets
Blackout II - Vintage Clothing London,"51 Endell St, London",51.5148867,-0.125315,3.9,London,,Camden
Mero Retro,"2 Bradbury St, London",51.5486303,-0.07583070000000001,5.0,London,,Hackney
Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,London,,Islington
House of Vintage Shoreditch,"4 Cheshire St, London",51.5234455,-0.07115189999999999,3.7,London,,Tower Hamlets
Magpie Vintage,"3 Camden Psge, London",51.5345635,-0.1043199,4.7,London,Camden,Islington
Vintage Threads,"69 Neal St, London",51.51494020000001,-0.1266051,4.3,London,,Camden
Brick Lane Vintage,"182 Brick Ln, London",51.52353850000001,-0.07130059999999999,4.2,London,,Tower Hamlets
Pop Boutique,"30 Short's Gardens, London",51.5144586,-0.1254132,4.1,London,,Camden
Goldsmith Vintage,"121, 123 Charing Cross Rd, London",51.5149524,-0.1301147,4.2,London,,Westminster
Vintage Basement,"7 Cheshire St, London",51.5235678,-0.07095209999999999,4.4,London,,Tower Hamlets
Rokit Covent Garden,"42 Shelton St, London",51.5140748,-0.1244384,4.2,London,,Westminster
Magpie Vintage,"F Block, Magpie Vintage Brick Lane Vintage Market, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
goldsmith vintage,"57 Neal St, London",51.51476760000001,-0.1263361,3.4,London,,Camden
Rokit,"101 Brick Ln, London",51.5224997,-0.0716904,4.1,London,,Tower Hamlets
Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,London,,Camden
SO VINTAGE LONDON,"Old Spitalfields Market, 16 Horner Square, Spitalfields, London",51.5196411,-0.0756105,3.0,London,,Tower Hamlets
Levisons Vintage Clothing,"1 Cheshire St, Brick Ln, London",51.5235518,-0.0711432,4.3,London,,Tower Hamlets
Past Trash,"38 Neal St, London",51.5143694,-0.1253947,4.7,London,,Camden
Wings Vintage,"105A Euston St., London",51.526494,-0.1363579,4.0,London,,Camden
ATIKA,"55-59 Hanbury St, London",51.52037370000001,-0.07094779999999999,4.3,London,,Tower Hamlets
The yard,"115 Brick Ln, London",51.5204843,-0.07386910000000001,0.0,London,,Tower Hamlets
VOUT,"95 Columbia Rd, London",51.5299168,-0.0687478,5.0,London,,Tower Hamlets
SCOUT VINTAGE,"108 Commercial St, London",51.5200921,-0.0742704,4.5,London,,Tower Hamlets
Collectif,"71 Brushfield St, London",51.5192388,-0.07506170000000001,4.4,London,,Tower Hamlets
Vintage Paradise,"220 Brick Ln, London",51.5245456,-0.0715203,4.3,London,,Tower Hamlets
Vintage Planet,"Unit 5/6, Vintage Planet, Brick Lane Vintage Market B4, 91 Brick Ln, London",51.5212201,-0.0719517,4.3,London,,Tower Hamlets
Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,London,,Westminster
Non Stop Vintage,"117c Brick Ln, London",51.5238695,-0.0715777,2.8,London,,Tower Hamlets
Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,London,,Westminster
COW Vintage,"13 Short's Gardens, London",51.5141663,-0.126386,3.7,London,,Camden
House of Vintage,"388 Old St, London",51.5270585,-0.0782834,0.0,London,,Hackney
Miniola Vintage,"65 Cross St, London",51.539392,-0.101881,0.0,London,,Islington
Love Leather THE VINTAGE MARKET,"85 Brick Ln, London",51.5206389,-0.0719332,4.7,London,,Tower Hamlets
Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,London,,Islington
Thrifted.com @ Brick Lane,"Vintage Market Shoreditch, Unit 30, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
Vintage Clothing,"42 Shelton St, London",51.5140221,-0.1245663,5.0,London,,Westminster
Vintage Velvet Clothing,"85 Brick Ln, London",51.52086689999999,-0.0720324,0.0,London,,Tower Hamlets
London Vintage,"5 Cheshire St, London",51.5235908,-0.0710595,5.0,London,,Tower Hamlets
Cream Vintage London,"158 Brick Ln, London",51.52206469999999,-0.07159839999999999,5.0,London,,Tower Hamlets
Dreamtime,"14 Pierrepoint Arcade, London",51.5345842,-0.1037696,1.0,London,,Islington
Here After,"151 Brick Ln, London",51.5242606,-0.07167200000000001,3.6,London,,Tower Hamlets
Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,London,,Islington
Sunday market stock vintage,"106 Sclater St, London",51.5236031,-0.0734318,0.0,London,,Tower Hamlets
Pink Ink,"Vintage market, 85 Brick Ln, London",51.520781,-0.0719501,0.0,London,,Tower Hamlets
Good,"33 Neal St, London",51.5142216,-0.1256036,5.0,London,,Camden
Original Material,"6 Cheshire St, London",51.5234368,-0.0711019,5.0,London,,Tower Hamlets
2o2st News,"72 Berwick St, London",51.5147633,-0.1360655,0.0,London,,Westminster
The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,London,,Islington
PEZZE,"17 Amhurst Terrace, London",51.5547934,-0.06726979999999999,5.0,London,,Hackney
wornwell vintage clothing,"Oxford St, London",51.5165812,-0.1311655,0.0,London,,Westminster
Future Vintage,"98 Columbia Rd, London",51.528632,-0.0704688,0.0,London,,Tower Hamlets
Serotonin Vintage London,"194 Brick Ln, London",51.5238457,-0.0713949,4.6,London,,Tower Hamlets
Vintage store,"148 Brick Ln, London",51.5213356,-0.0716821,0.0,London,,Tower Hamlets
twos,"258 Hackney Rd, London",51.53086829999999,-0.06938029999999999,5.0,London,Hackney,Tower Hamlets
Beyond Retro Dalston,"92-100 Stoke Newington Rd, London",51.5533702,-0.0746013,4.5,London,,Hackney
Mero Retro,"2 Bradbury St, London",51.5486303,-0.07583070000000001,5.0,London,,Hackney
Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,London,,Islington
Miniola Vintage,"65 Cross St, London",51.539392,-0.101881,0.0,London,,Islington
Resurrection Boutique,"3, Archway Close, 3 Archway Rd, London",51.5657346,-0.134374,4.2,London,,Islington
Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,London,,Islington
London Fashion Vintage Fair,"73 Stoke Newington Church St, London",51.5620906,-0.07730469999999999,4.0,London,,Hackney
Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,London,,Camden
Svarelle,London,51.56526030000001,-0.1196879,0.0,London,,Islington
The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,London,,Islington
PEZZE,"17 Amhurst Terrace, London",51.5547934,-0.06726979999999999,5.0,London,,Hackney
Alpha Vintage Store,"Hornsey Rd, London",51.55952120000001,-0.1144241,0.0,London,,Islington
Reign Vintage,"166-168 Stoke Newington High St, London",51.5614461,-0.07358250000000001,4.3,London,,Hackney
Magpie Vintage,"3 Camden Psge, London",51.5345635,-0.1043199,4.7,London,Camden,Islington
Forgotten Tales Vintage,"9a Cazenove Rd, London",51.5642296,-0.0723471,0.0,London,,Hackney
Cats In Orbit,"54 Eade Rd, London",51.5740932,-0.09484800000000002,1.0,London,,Haringey
Retro Arena,"32 Mildmay Grove S, London",51.5485321,-0.0853227,5.0,London,,Islington
Dreamtime,"14 Pierrepoint Arcade, London",51.5345842,-0.1037696,1.0,London,,Islington
2 & 4 Vintage Furniture,"2-4 Southgate Rd, London",51.5377476,-0.0861846,4.4,London,,Hackney
Retro Hub N16,"Retro Hub N16, 2 Marton Rd, London",51.5617963,-0.08028210000000001,4.4,London,,Hackney
Blighty Militaria,"Flat C, 8-10 Ferntower Rd, London",51.5512446,-0.0866827,5.0,London,,Islington
American Vintage,"Stable St, London",51.535973,-0.126182,3.4,London,,Camden
"Camden Passage, Islington","1 Camden Psge, London",51.5346814,-0.1039732,4.3,London,Camden,Islington
SK.Vintage,"51 Fortess Rd, London",51.5539851,-0.1406663,4.5,London,,Camden
Vivien of Holloway,"294 Holloway Rd, London",51.55451430000001,-0.1142869,4.4,London,,Islington
Storm in a Teacup,"366 Kingsland Rd, London",51.5405416,-0.0762495,4.6,London,,Hackney
One Scoop Store,"101 Stoke Newington High St, London",51.55990329999999,-0.0741752,4.8,London,,Hackney
Seconda Mano - Clothing Agency,"114 Upper St, London",51.5381916,-0.1026253,4.0,London,,Islington
Furuki Yo-Kimono Vintage,"London, Pod15 21-31 Shacklewell Lane, Dalston",51.5512149,-0.0733721,5.0,London,,Hackney
Leos boutique uk clothing popup stall,"Pierrepoint Arcade, Camden Psge, London",51.5355171,-0.1032303,5.0,London,Camden,Islington
House of Modern Vintage,"Wightman Rd, London",51.5793317,-0.1041108,4.9,London,,Haringey
Committee of Taste,"3a Evering Rd, London",51.5573029,-0.0737305,4.7,London,,Hackney
Corr Vintage Watches,"32 Walford Rd, London",51.5560002,-0.0763672,0.0,London,,Hackney
TTFN Vintage,"106-108 Denmark Hill, London",51.4709291,-0.0930882,5.0,London,,Lambeth
Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,London,,Lambeth
Blue Feather,"14 Melbourne Grove, London",51.4604254,-0.0799633,4.9,London,,Southwark
Little Sister,"Market Peckham, 133a Rye Ln, London",51.46982449999999,-0.0680959,5.0,London,,Southwark
Ansa Vintage,"95 Dartmouth Rd, London",51.4361212,-0.05506150000000001,5.0,London,,Lewisham
Rye Not Retro,"62 Peckham Rye, London",51.4649691,-0.06665789999999999,4.3,London,,Southwark
Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,0.0,London,,Lambeth
Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,London,,Lambeth
the never not,"Arch 118, Unit 22 Station Passage, London",51.4747305,-0.0569701,0.0,London,,Southwark
National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,London,,Southwark
Farr & Wyde,"Heron House, Dartmouth Rd, London",51.4383379,-0.054395,3.0,London,,Lewisham
SixQD,"720b, 722b Old Kent Rd, London",51.4808333,-0.06047259999999999,0.0,London,,Southwark
Morbleu,"135 Dulwich Rd, London",51.4526729,-0.1027664,4.4,London,,Lambeth
Windsor Antique Emporium,"405 Lordship Ln, London",51.448623,-0.0735941,5.0,London,,Southwark
Wild Horses,"95 Dartmouth Rd, London",51.43615150000001,-0.05503769999999999,5.0,London,,Lewisham
Vintique London,"Unit 13 Station Passage, Queen's Rd, London",51.4755117,-0.05625339999999999,4.9,London,,Southwark
HOP Market - Studio,"60 Honor Oak Park, London",51.4495133,-0.0440055,4.3,London,,Lewisham
TRAID Peckham,"14-16 Rye Ln, London",51.4726379,-0.0698983,4.2,London,,Southwark
Vintage Chairs,"25 Gubyon Ave, London",51.4554139,-0.102013,0.0,London,,Lambeth
Frost,"144 Bellenden Rd, London",51.4681623,-0.0726333,5.0,London,,Southwark
TTFN Vintage,"106-108 Denmark Hill, London",51.4709291,-0.0930882,5.0,London,,Lambeth
Pezze,"vinegar yard, St Thomas St, London",51.5026705,-0.0833746,5.0,London,,Southwark
Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,London,,Lambeth
Blue Feather,"14 Melbourne Grove, London",51.4604254,-0.0799633,4.9,London,,Southwark
Little Sister,"Market Peckham, 133a Rye Ln, London",51.46982449999999,-0.0680959,5.0,London,,Southwark
Rye Not Retro,"62 Peckham Rye, London",51.4649691,-0.06665789999999999,4.3,London,,Southwark
Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,0.0,London,,Lambeth
Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,London,,Lambeth
the never not,"Arch 118, Unit 22 Station Passage, London",51.4747305,-0.0569701,0.0,London,,Southwark
SixQD,"720b, 722b Old Kent Rd, London",51.4808333,-0.06047259999999999,0.0,London,,Southwark
National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,London,,Southwark
livewithfashion,"Alpha House, 100 Borough High St, London",51.5032218,-0.09196889999999999,0.0,London,,Southwark
Academy Vintage Repro,"229 Waterloo Rd, London",51.4998143,-0.1068619,0.0,London,,Southwark
Flea London Vintage & Makers Market,"Vinegar Yard, St Thomas St, London",51.50259699999999,-0.08344649999999999,4.0,London,,Southwark
Bermondsey Antique Market,"11 Bermondsey Sq, London",51.4972798,-0.0812958,3.9,London,,Southwark
Vintique London,"Unit 13 Station Passage, Queen's Rd, London",51.4755117,-0.05625339999999999,4.9,London,,Southwark
TRAID Peckham,"14-16 Rye Ln, London",51.4726379,-0.0698983,4.2,London,,Southwark
Hunky Dory Vintage,"226 Brick Ln, London",51.52473939999999,-0.0715639,4.5,London,,Tower Hamlets
The Brick Lane Vintage Market,"85 Brick Ln, London",51.52079579999999,-0.0720977,4.3,London,,Tower Hamlets
House of Vintage Shoreditch,"4 Cheshire St, London",51.5234455,-0.07115189999999999,3.7,London,,Tower Hamlets
Brick Lane Vintage,"182 Brick Ln, London",51.52353850000001,-0.07130059999999999,4.2,London,,Tower Hamlets
Magpie Vintage,"F Block, Magpie Vintage Brick Lane Vintage Market, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
Rokit,"101 Brick Ln, London",51.5224997,-0.0716904,4.1,London,,Tower Hamlets
SO VINTAGE LONDON,"Old Spitalfields Market, 16 Horner Square, Spitalfields, London",51.5196411,-0.0756105,3.0,London,,Tower Hamlets
Levisons Vintage Clothing,"1 Cheshire St, Brick Ln, London",51.5235518,-0.0711432,4.3,London,,Tower Hamlets
ATIKA,"55-59 Hanbury St, London",51.52037370000001,-0.07094779999999999,4.3,London,,Tower Hamlets
The yard,"115 Brick Ln, London",51.5204843,-0.07386910000000001,0.0,London,,Tower Hamlets
SCOUT VINTAGE,"108 Commercial St, London",51.5200921,-0.0742704,4.5,London,,Tower Hamlets
Collectif,"71 Brushfield St, London",51.5192388,-0.07506170000000001,4.4,London,,Tower Hamlets
VOUT,"95 Columbia Rd, London",51.5299168,-0.0687478,5.0,London,,Tower Hamlets
Vintage Paradise,"220 Brick Ln, London",51.5245456,-0.0715203,4.3,London,,Tower Hamlets
Vintage Planet,"Unit 5/6, Vintage Planet, Brick Lane Vintage Market B4, 91 Brick Ln, London",51.5212201,-0.0719517,4.3,London,,Tower Hamlets
Pezze,"vinegar yard, St Thomas St, London",51.5026705,-0.0833746,5.0,London,,Southwark
Non Stop Vintage,"117c Brick Ln, London",51.5238695,-0.0715777,2.8,London,,Tower Hamlets
House of Vintage,"388 Old St, London",51.5270585,-0.0782834,0.0,London,,Hackney
Love Leather THE VINTAGE MARKET,"85 Brick Ln, London",51.5206389,-0.0719332,4.7,London,,Tower Hamlets
Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,London,,Islington
Thrifted.com @ Brick Lane,"Vintage Market Shoreditch, Unit 30, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
Vintage Velvet Clothing,"85 Brick Ln, London",51.52086689999999,-0.0720324,0.0,London,,Tower Hamlets
London Vintage,"5 Cheshire St, London",51.5235908,-0.0710595,5.0,London,,Tower Hamlets
Cream Vintage London,"158 Brick Ln, London",51.52206469999999,-0.07159839999999999,5.0,London,,Tower Hamlets
Here After,"151 Brick Ln, London",51.5242606,-0.07167200000000001,3.6,London,,Tower Hamlets
Sunday market stock vintage,"106 Sclater St, London",51.5236031,-0.0734318,0.0,London,,Tower Hamlets
Pink Ink,"Vintage market, 85 Brick Ln, London",51.520781,-0.0719501,0.0,London,,Tower Hamlets
Hartex,"Unit 9, Gabriels Wharf, 56 Upper Ground, London",51.5079685,-0.1103793,4.7,London,,Lambeth
Original Material,"6 Cheshire St, London",51.5234368,-0.0711019,5.0,London,,Tower Hamlets
Wizard Boo,"83a Roman Rd, London",51.5283907,-0.0500158,0.0,London,,Tower Hamlets
Future Vintage,"98 Columbia Rd, London",51.528632,-0.0704688,0.0,London,,Tower Hamlets
Serotonin Vintage London,"194 Brick Ln, London",51.5238457,-0.0713949,4.6,London,,Tower Hamlets
Archive Six,"5 Calvert Ave, London",51.5264278,-0.0761304,0.0,London,,Tower Hamlets
Vintage store,"148 Brick Ln, London",51.5213356,-0.0716821,0.0,London,,Tower Hamlets
Vintage Heaven,"82 Columbia Rd, London",51.5284208,-0.07090919999999999,4.5,London,,Tower Hamlets
Nordic Poetry,"141 Bethnal Grn Rd, London",51.5252734,-0.0710946,4.6,London,,Tower Hamlets
livewithfashion,"Alpha House, 100 Borough High St, London",51.5032218,-0.09196889999999999,0.0,London,,Southwark
Bread and Butter Collection,"72 Rivington St, London",51.5261211,-0.0792861,5.0,London,,Hackney
British Vintage,"City Rd, London",51.5291548,-0.09518019999999999,0.0,London,,Islington
Academy Vintage Repro,"229 Waterloo Rd, London",51.4998143,-0.1068619,0.0,London,,Southwark
Kin Store London,"131 Brick Ln, London",51.52373,-0.0715621,3.7,London,,Tower Hamlets
WAI VI KI . LTD,"1 Owen St, London",51.5310287,-0.1049576,0.0,London,,Islington
Flea London Vintage & Makers Market,"Vinegar Yard, St Thomas St, London",51.50259699999999,-0.08344649999999999,4.0,London,,Southwark
twos,"258 Hackney Rd, London",51.53086829999999,-0.06938029999999999,5.0,London,Hackney,Tower Hamlets
Bermondsey Antique Market,"11 Bermondsey Sq, London",51.4972798,-0.0812958,3.9,London,,Southwark
Vintage Vinyl Brick Lane,"85 Brick Ln, London",51.520781,-0.0719501,4.6,London,,Tower Hamlets
Klasik Vintage Eyewear,"Old Spitalfields Market, Brushfield St, London",51.5196657,-0.07544519999999999,5.0,London,,Tower Hamlets
Two Columbia Road,"2 Columbia Rd, London",51.5279872,-0.07601229999999999,4.6,London,,Tower Hamlets
The Vintage Furniture Flea,"5-15 Old Ford Road Greater, London",51.5296196,-0.05525870000000001,5.0,London,,Tower Hamlets
Hunky Dory Vintage,"226 Brick Ln, London",51.52473939999999,-0.0715639,4.5,London,,Tower Hamlets
Beyond Retro Dalston,"92-100 Stoke Newington Rd, London",51.5533702,-0.0746013,4.5,London,,Hackney
The Brick Lane Vintage Market,"85 Brick Ln, London",51.52079579999999,-0.0720977,4.3,London,,Tower Hamlets
Mero Retro,"2 Bradbury St, London",51.5486303,-0.07583070000000001,5.0,London,,Hackney
Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,London,,Islington
House of Vintage Shoreditch,"4 Cheshire St, London",51.5234455,-0.07115189999999999,3.7,London,,Tower Hamlets
Magpie Vintage,"3 Camden Psge, London",51.5345635,-0.1043199,4.7,London,Camden,Islington
Brick Lane Vintage,"182 Brick Ln, London",51.52353850000001,-0.07130059999999999,4.2,London,,Tower Hamlets
Magpie Vintage,"F Block, Magpie Vintage Brick Lane Vintage Market, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
Preloved by Melina,"36 Amhurst Rd, London",51.5481259,-0.05684939999999999,5.0,London,,Hackney
Rokit,"101 Brick Ln, London",51.5224997,-0.0716904,4.1,London,,Tower Hamlets
SO VINTAGE LONDON,"Old Spitalfields Market, 16 Horner Square, Spitalfields, London",51.5196411,-0.0756105,3.0,London,,Tower Hamlets
Somewhere in Hackney Vintage,"394 Mentmore Terrace, London",51.5411437,-0.0577,5.0,London,,Hackney
Gold Dust Vintage,"343 - 344 Beck Rd, London",51.5372201,-0.0581609,5.0,London,,Hackney
Levisons Vintage Clothing,"1 Cheshire St, Brick Ln, London",51.5235518,-0.0711432,4.3,London,,Tower Hamlets
ATIKA,"55-59 Hanbury St, London",51.52037370000001,-0.07094779999999999,4.3,London,,Tower Hamlets
The yard,"115 Brick Ln, London",51.5204843,-0.07386910000000001,0.0,London,,Tower Hamlets
VOUT,"95 Columbia Rd, London",51.5299168,-0.0687478,5.0,London,,Tower Hamlets
SCOUT VINTAGE,"108 Commercial St, London",51.5200921,-0.0742704,4.5,London,,Tower Hamlets
Collectif,"71 Brushfield St, London",51.5192388,-0.07506170000000001,4.4,London,,Tower Hamlets
Vintage Paradise,"220 Brick Ln, London",51.5245456,-0.0715203,4.3,London,,Tower Hamlets
Vintage Planet,"Unit 5/6, Vintage Planet, Brick Lane Vintage Market B4, 91 Brick Ln, London",51.5212201,-0.0719517,4.3,London,,Tower Hamlets
Retrouvé vintage,"23 Broadway Market, London",51.5362818,-0.0620898,5.0,London,,Hackney
Retrouvé vintage,"e8 1bg, 61 Wilton Way, London",51.5456744,-0.06157260000000001,4.5,London,,Hackney
Non Stop Vintage,"117c Brick Ln, London",51.5238695,-0.0715777,2.8,London,,Tower Hamlets
House of Vintage,"388 Old St, London",51.5270585,-0.0782834,0.0,London,,Hackney
Miniola Vintage,"65 Cross St, London",51.539392,-0.101881,0.0,London,,Islington
Love Leather THE VINTAGE MARKET,"85 Brick Ln, London",51.5206389,-0.0719332,4.7,London,,Tower Hamlets
Frankie Lou Vintage,"12-20 Rosina St, London",51.54757499999999,-0.0455728,0.0,London,,Hackney
Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,London,,Islington
Thrifted.com @ Brick Lane,"Vintage Market Shoreditch, Unit 30, 85 Brick Ln, London",51.520781,-0.0719501,5.0,London,,Tower Hamlets
WAI VI KI . LTD,"1 Owen St, London",51.5310287,-0.1049576,0.0,London,,Islington
Vintage Velvet Clothing,"85 Brick Ln, London",51.52086689999999,-0.0720324,0.0,London,,Tower Hamlets
London Vintage,"5 Cheshire St, London",51.5235908,-0.0710595,5.0,London,,Tower Hamlets
Cream Vintage London,"158 Brick Ln, London",51.52206469999999,-0.07159839999999999,5.0,London,,Tower Hamlets
Dreamtime,"14 Pierrepoint Arcade, London",51.5345842,-0.1037696,1.0,London,,Islington
Here After,"151 Brick Ln, London",51.5242606,-0.07167200000000001,3.6,London,,Tower Hamlets
Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,London,,Islington
Sunday market stock vintage,"106 Sclater St, London",51.5236031,-0.0734318,0.0,London,,Tower Hamlets
Pink Ink,"Vintage market, 85 Brick Ln, London",51.520781,-0.0719501,0.0,London,,Tower Hamlets
Original Material,"6 Cheshire St, London",51.5234368,-0.0711019,5.0,London,,Tower Hamlets
PEZZE,"17 Amhurst Terrace, London",51.5547934,-0.06726979999999999,5.0,London,,Hackney
REFASHED I Vintage & Second-Hand Clothes,"13 Mentmore Terrace, London",51.54109889999999,-0.0573418,5.0,London,,Hackney
Rekindled,"212 Well St, London",51.5443061,-0.046649,5.0,London,,Hackney
Future Vintage,"98 Columbia Rd, London",51.528632,-0.0704688,0.0,London,,Tower Hamlets
Serotonin Vintage London,"194 Brick Ln, London",51.5238457,-0.0713949,4.6,London,,Tower Hamlets
House of Vintage Broadway Market,"2b Ada St, London",51.5358132,-0.06177329999999999,5.0,London,,Hackney
Vintage store,"148 Brick Ln, London",51.5213356,-0.0716821,0.0,London,,Tower Hamlets
Retold Vintage,"Stephen House, 1 Darnley Rd, London",51.5437886,-0.05438399999999999,5.0,London,,Hackney
twos,"258 Hackney Rd, London",51.53086829999999,-0.06938029999999999,5.0,London,Hackney,Tower Hamlets
The Pattern,"167 Mare St, London",51.5399792,-0.0560996,5.0,London,,Hackney
Paper Dress Vintage,"352a Mare St, London",51.547349,-0.05470179999999999,4.6,London,,Hackney
Vintage Heaven,"82 Columbia Rd, London",51.5284208,-0.07090919999999999,4.5,London,,Tower Hamlets
Nordic Poetry,"141 Bethnal Grn Rd, London",51.5252734,-0.0710946,4.6,London,,Tower Hamlets
